z	dens_1	dens_2	dens_3	dens_moy	se_moy
-74.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-73.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-72.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-71.500000	0.010000	0.020000	0.020000	0.016667	0.003333
-70.500000	0.040000	0.060000	0.060000	0.053333	0.006667
-69.500000	0.110000	0.140000	0.130000	0.126667	0.008819
-68.500000	0.230000	0.280000	0.250000	0.253333	0.014530
-67.500000	0.400000	0.460000	0.410000	0.423333	0.018559
-66.500000	0.590000	0.660000	0.590000	0.613333	0.023333
-65.500000	0.750000	0.820000	0.760000	0.776667	0.021858
-64.500000	0.870000	0.920000	0.880000	0.890000	0.015275
-63.500000	0.940000	0.980000	0.950000	0.956667	0.012019
-62.500000	0.980000	0.990000	0.990000	0.986667	0.003333
-61.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-60.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-59.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-58.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-57.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-56.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-55.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-54.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-53.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-52.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-51.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-50.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-49.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-48.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-47.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-46.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-45.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-44.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-43.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-42.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-41.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-40.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-39.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-38.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-37.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-36.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-35.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-34.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-33.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-32.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-31.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-30.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-29.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-28.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-27.500000	1.000000	1.000000	1.000000	1.000000	0.000000
-26.500000	1.010000	1.010000	1.010000	1.010000	0.000000
-25.500000	1.020000	1.020000	1.020000	1.020000	0.000000
-24.500000	1.040000	1.040000	1.040000	1.040000	0.000000
-23.500000	1.080000	1.080000	1.090000	1.083333	0.003333
-22.500000	1.150000	1.150000	1.150000	1.150000	0.000000
-21.500000	1.230000	1.240000	1.230000	1.233333	0.003333
-20.500000	1.310000	1.320000	1.310000	1.313333	0.003333
-19.500000	1.360000	1.370000	1.350000	1.360000	0.005774
-18.500000	1.360000	1.360000	1.360000	1.360000	0.000000
-17.500000	1.330000	1.330000	1.330000	1.330000	0.000000
-16.500000	1.280000	1.280000	1.290000	1.283333	0.003333
-15.500000	1.230000	1.230000	1.230000	1.230000	0.000000
-14.500000	1.160000	1.160000	1.160000	1.160000	0.000000
-13.500000	1.070000	1.060000	1.070000	1.066667	0.003333
-12.500000	0.990000	0.980000	0.990000	0.986667	0.003333
-11.500000	0.920000	0.910000	0.920000	0.916667	0.003333
-10.500000	0.880000	0.880000	0.880000	0.880000	0.000000
-9.500000	0.860000	0.860000	0.860000	0.860000	0.000000
-8.500000	0.850000	0.860000	0.850000	0.853333	0.003333
-7.500000	0.840000	0.850000	0.850000	0.846667	0.003333
-6.500000	0.840000	0.840000	0.840000	0.840000	0.000000
-5.500000	0.820000	0.820000	0.820000	0.820000	0.000000
-4.500000	0.800000	0.800000	0.800000	0.800000	0.000000
-3.500000	0.770000	0.770000	0.770000	0.770000	0.000000
-2.500000	0.740000	0.740000	0.740000	0.740000	0.000000
-1.500000	0.700000	0.700000	0.710000	0.703333	0.003333
-0.500000	0.690000	0.680000	0.690000	0.686667	0.003333
0.500000	0.690000	0.680000	0.690000	0.686667	0.003333
1.500000	0.700000	0.700000	0.700000	0.700000	0.000000
2.500000	0.740000	0.730000	0.740000	0.736667	0.003333
3.500000	0.770000	0.770000	0.770000	0.770000	0.000000
4.500000	0.800000	0.800000	0.800000	0.800000	0.000000
5.500000	0.820000	0.820000	0.820000	0.820000	0.000000
6.500000	0.830000	0.840000	0.830000	0.833333	0.003333
7.500000	0.850000	0.840000	0.840000	0.843333	0.003333
8.500000	0.850000	0.850000	0.850000	0.850000	0.000000
9.500000	0.860000	0.860000	0.860000	0.860000	0.000000
10.500000	0.880000	0.880000	0.880000	0.880000	0.000000
11.500000	0.920000	0.920000	0.920000	0.920000	0.000000
12.500000	0.980000	0.980000	0.980000	0.980000	0.000000
13.500000	1.070000	1.070000	1.070000	1.070000	0.000000
14.500000	1.160000	1.150000	1.160000	1.156667	0.003333
15.500000	1.230000	1.230000	1.230000	1.230000	0.000000
16.500000	1.290000	1.280000	1.290000	1.286667	0.003333
17.500000	1.330000	1.330000	1.330000	1.330000	0.000000
18.500000	1.360000	1.360000	1.360000	1.360000	0.000000
19.500000	1.360000	1.360000	1.360000	1.360000	0.000000
20.500000	1.310000	1.320000	1.310000	1.313333	0.003333
21.500000	1.230000	1.240000	1.230000	1.233333	0.003333
22.500000	1.150000	1.150000	1.150000	1.150000	0.000000
23.500000	1.080000	1.090000	1.080000	1.083333	0.003333
24.500000	1.040000	1.040000	1.040000	1.040000	0.000000
25.500000	1.020000	1.020000	1.020000	1.020000	0.000000
26.500000	1.010000	1.010000	1.010000	1.010000	0.000000
27.500000	1.000000	1.000000	1.000000	1.000000	0.000000
